tract_id,county,median_income,internet_access_rate,broadband_subscription_rate,bachelor_degree_rate,poverty_rate,unemployment_rate
NJ-041,Mercer,97674.0,999.0,68.8,59.4,3.4,1.0
NJ-042,Hudson,117819.0,91.8,90.2,50.3,18.1,4.7
NJ-043,Hudson,109875.0,70.6,67.0,28.5,27.6,3.4
NJ-044,Essex,39227.0,45.1,51.6,5.0,11.7,6.4
NJ-045,Bergen,69312.0,78.6,122.0,50.5,1.0,6.5
NJ-046,Morris,25000.0,49.7,44.5,48.7,16.9,2.8
NJ-047,Bergen,63133.0,63.3,62.8,40.3,21.3,6.7
NJ-048,Passaic,,79.6,73.2,30.2,,5.6
NJ-049,Monmouth,58606.0,66.7,64.9,60.4,13.0,5.5
NJ-050,Hudson,,57.8,52.5,13.0,15.2,5.0
NJ-051,Monmouth,85501.0,67.9,68.2,27.0,12.6,7.9
NJ-052,Bergen,96108.0,69.6,70.8,17.5,16.3,7.2
NJ-053,Essex,69805.0,,76.2,43.2,17.6,6.4
NJ-054,Morris,72116.0,59.6,54.3,31.5,7.5,8.3
NJ-055,Bergen,96607.0,91.6,88.5,67.6,8.5,6.1
NJ-056,Camden,83843.0,75.2,68.7,38.2,9.9,6.3
NJ-057,Middlesex,71438.0,66.1,59.4,,10.6,7.1
NJ-058,Burlington,85234.0,81.1,73.4,46.0,13.2,5.5
NJ-059,Hudson,79751.0,73.6,71.9,27.7,18.7,3.6
NJ-060,Union,83857.0,68.8,68.8,22.8,4.2,9.5
NJ-061,Passaic,124028.0,86.6,83.4,45.5,17.5,7.9
NJ-062,Burlington,70980.0,65.4,60.9,31.2,10.8,3.4
NJ-063,Union,65585.0,78.0,80.2,51.7,1.0,4.0
NJ-064,Ocean,110514.0,85.9,91.8,42.7,9.6,3.9
NJ-065,Morris,61769.0,67.6,62.9,39.6,10.4,3.0
NJ-066,Hudson,117557.0,86.3,78.3,39.0,15.3,6.7
NJ-067,Hudson,73533.0,71.4,67.8,36.8,15.5,9.0
NJ-068,Ocean,79698.0,81.5,79.5,43.7,12.0,6.8
NJ-069,Hudson,94873.0,73.9,70.1,32.4,7.1,9.1
NJ-070,Camden,105902.0,71.9,68.0,10.6,17.7,5.2
NJ-071,Passaic,,93.8,94.8,39.1,7.9,6.5
NJ-072,Middlesex,73316.0,68.5,64.4,31.6,4.9,4.1
NJ-073,Monmouth,69572.0,72.1,64.3,18.7,8.2,6.0
NJ-074,Mercer,85992.0,73.8,69.2,48.9,8.8,8.1
NJ-075,Morris,81099.0,75.7,73.2,32.7,11.3,7.4
NJ-076,Ocean,63228.0,61.2,55.1,13.6,9.3,8.0
NJ-077,Burlington,87447.0,77.9,72.4,37.0,9.8,5.2
NJ-078,Middlesex,100865.0,74.1,75.1,28.6,16.4,7.8
NJ-079,Passaic,81830.0,71.9,63.7,14.2,16.8,8.9
NJ-080,Passaic,,83.7,77.3,42.4,15.2,7.1
NJ-081,Passaic,87437.0,71.4,67.0,,10.1,3.2
NJ-082,Bergen,74416.0,77.4,72.4,48.1,8.0,6.6
NJ-083,Monmouth,80305.0,66.7,62.7,-999.0,10.6,6.5
NJ-084,Passaic,666666.0,59.8,59.7,51.7,11.1,4.7
NJ-085,Burlington,,56.1,50.5,44.0,17.0,3.9
NJ-086,Hudson,88960.0,73.2,69.9,39.5,10.3,4.4
NJ-087,Union,58375.0,74.3,66.8,27.4,,8.3
NJ-088,Mercer,69759.0,85.9,84.9,50.7,7.0,6.3
NJ-089,Burlington,75948.0,62.2,62.2,45.0,22.6,9.3
NJ-090,Hudson,86857.0,76.8,77.2,,6.4,2.4
NJ-091,Camden,666666.0,77.2,70.0,46.1,4.4,6.8
NJ-092,Middlesex,79247.0,70.8,67.9,23.6,,9.2
NJ-093,Morris,33580.0,42.1,41.2,20.1,22.6,9.7
NJ-094,Bergen,73248.0,71.7,73.7,36.7,12.6,4.9
NJ-095,Camden,60163.0,61.7,48.4,39.0,13.8,9.2
NJ-096,Bergen,75439.0,70.5,67.1,44.0,2.5,8.2
NJ-097,Monmouth,100801.0,,79.6,38.9,3.0,8.4
NJ-098,Morris,96511.0,72.5,71.3,55.4,12.0,6.4
NJ-099,Camden,83068.0,73.7,66.0,19.9,9.3,8.0
NJ-100,Morris,89632.0,72.7,70.8,46.0,14.3,7.8
NJ-101,Ocean,43767.0,71.6,72.8,41.2,5.4,4.8
NJ-102,Essex,82482.0,80.0,77.3,57.0,18.3,1.0
NJ-103,Middlesex,92364.0,80.2,70.6,39.7,20.1,8.3
NJ-104,Middlesex,61759.0,69.4,61.4,42.4,2.7,8.1
NJ-105,Monmouth,87315.0,87.4,79.1,62.7,13.5,7.5
NJ-106,Bergen,69241.0,79.2,78.9,49.1,10.3,5.2
NJ-107,Morris,101012.0,76.4,79.2,46.5,20.7,5.2
NJ-108,Monmouth,103494.0,79.0,77.5,32.5,13.4,2.9
NJ-109,Union,666666.0,73.5,72.1,39.9,17.7,9.3
NJ-110,Passaic,111647.0,78.5,75.5,14.9,11.5,5.9
NJ-111,Middlesex,73628.0,63.4,-10.0,26.2,13.9,7.7
NJ-112,Morris,125425.0,90.5,89.7,47.1,24.8,5.3
NJ-113,Passaic,66694.0,63.2,63.3,13.1,24.5,1.3
NJ-114,Ocean,5000.0,72.5,73.9,39.3,1.8,7.6
NJ-115,Bergen,82903.0,75.1,69.2,38.2,14.3,8.5
NJ-116,Union,60732.0,67.3,62.6,43.4,13.4,9.8
NJ-117,Bergen,38316.0,61.2,54.6,14.3,5.6,5.8
NJ-118,Middlesex,59609.0,57.0,59.1,9.6,7.4,5.1
NJ-119,Morris,102831.0,90.5,89.4,53.5,13.1,6.3
NJ-120,Mercer,70441.0,72.4,64.2,39.6,17.7,4.0
NJ-121,Monmouth,70486.0,67.9,63.3,43.7,666666.0,4.3
NJ-122,Morris,112886.0,87.6,79.9,60.6,9.5,7.3
NJ-123,Passaic,89351.0,73.1,66.3,40.4,5.6,5.6
NJ-124,Mercer,94153.0,82.2,76.2,10.5,1.0,5.0
NJ-125,Monmouth,97537.0,69.0,68.4,33.6,21.2,6.8
NJ-126,Passaic,57129.0,68.4,65.9,49.5,8.7,5.3
NJ-127,Ocean,80869.0,83.2,79.0,32.0,6.8,10.8
NJ-128,Morris,81455.0,75.4,63.0,33.8,14.0,5.4
NJ-129,Burlington,74346.0,70.6,64.6,29.6,11.5,9.1
NJ-130,Monmouth,666666.0,70.2,67.6,58.6,11.9,7.4
NJ-131,Morris,88667.0,77.5,73.7,55.4,15.9,8.0
NJ-132,Bergen,39855.0,47.3,42.6,12.7,9.1,6.7
NJ-133,Passaic,56447.0,77.1,74.8,,5.7,5.7
NJ-134,Morris,59385.0,,51.9,27.2,11.1,6.0
NJ-135,Monmouth,68521.0,999.0,79.3,66.4,12.4,4.8
NJ-136,Union,97345.0,68.4,55.6,19.6,5.5,6.8
NJ-137,Passaic,350000.0,89.9,80.8,-999.0,5.4,8.0
NJ-138,Burlington,117613.0,86.0,81.8,-999.0,5.7,1.1
NJ-139,Monmouth,96544.0,72.8,72.2,35.8,16.9,3.5
NJ-140,Morris,88113.0,75.5,77.3,50.4,20.3,3.6
NJ-001,Bergen,84835.0,71.2,65.3,5.3,7.6,8.5
